,Lat,Lng,Country,City,Cloudiness,Date,Humidity,Max Temp,Wind Speed
0,46.0901,3.4459,FR,Hauterive,6,1659550692,26,93.96,1.61
1,34.5686,105.8933,CN,Beidao,11,1659550692,88,70.75,3.89
2,42.6001,-73.9662,US,Albany,5,1659550574,44,88.65,2.42
3,-15.1961,12.1522,AO,Mossamedes,33,1659550693,79,61.09,5.7
4,61.67,96.37,RU,Baykit,100,1659550694,95,50.36,3.56
5,77.484,-69.3632,GL,Qaanaaq,52,1659550588,63,44.94,0.63
6,-23.1203,-134.9692,PF,Rikitea,79,1659550694,69,72.05,16.6
7,-40.8135,-62.9967,AR,Viedma,8,1659550695,35,55.81,4.36
8,-33.8667,121.9,AU,Esperance,97,1659550695,74,54.97,32.84
9,-34.5322,20.0403,ZA,Bredasdorp,11,1659550696,91,50.07,6.29
10,-2.6741,141.3028,PG,Vanimo,100,1659550697,91,77.49,6.42
11,-7.2597,-34.9075,BR,Conde,75,1659550697,94,76.46,6.91
12,-25.2406,130.9889,AU,Yulara,99,1659550698,42,59.81,8.25
13,35.55,133.2333,JP,Sakaiminato,40,1659550699,89,78.78,4.61
14,28.3667,129.4833,JP,Naze,79,1659550700,86,77.92,4.68
15,17.1495,42.6254,SA,Şabyā,91,1659550700,73,87.42,7.36
16,-33.5906,26.891,ZA,Port Alfred,91,1659550701,73,63.18,5.5
17,37.3394,-121.895,US,San Jose,20,1659550441,54,89.1,5.75
18,-21.2,-175.2,TO,Vaini,20,1659550702,94,75.36,8.05
19,41.7597,86.1469,CN,Korla,36,1659550702,26,84.52,4.29
20,-3.3667,135.4833,ID,Nabire,100,1659550703,95,74.98,3.89
21,14.1646,38.8955,ET,Adwa,100,1659550704,84,63.61,4.47
22,56.5,39.6833,RU,Yur’yev-Pol’skiy,80,1659550704,53,71.24,5.06
23,-33.65,115.3333,AU,Busselton,78,1659550705,77,53.4,16.02
24,5.3505,48.5268,SO,Hobyo,72,1659550705,83,76.84,27.51
25,-46.1927,168.8643,NZ,Mataura,100,1659550706,88,44.47,3.65
26,-33.9258,18.4232,ZA,Cape Town,75,1659550706,79,56.91,5.75
27,-22.9661,-42.0278,BR,Arraial do Cabo,20,1659550707,69,76.96,10.36
28,-20.7377,116.8463,AU,Karratha,4,1659550707,61,65.75,11.5
29,-35.7167,150.1833,AU,Batemans Bay,46,1659550707,60,60.1,9.71
30,-53.15,-70.9167,CL,Punta Arenas,75,1659550706,87,41.02,8.05
31,-54.8,-68.3,AR,Ushuaia,75,1659550570,81,40.66,1.14
32,50.3643,108.7512,RU,Krasnyy Chikoy,100,1659550709,96,62.22,3.31
33,19.7297,-155.09,US,Hilo,20,1659550694,78,79.25,4.61
34,20.5022,-10.0711,MR,Adrar,18,1659550709,20,102.2,6.98
35,-20.2208,-70.1431,CL,Iquique,21,1659550710,67,62.64,10.56
36,-33.918,25.5701,ZA,Port Elizabeth,0,1659550652,57,61.32,11.5
37,66.0,111.5,RU,Aykhal,100,1659550710,97,41.2,24.29
38,-17.7333,-149.15,PF,Tautira,29,1659550711,81,76.55,22.57
39,-42.8794,147.3294,AU,Hobart,100,1659550530,92,49.86,6.91
40,10.3399,-68.7425,VE,San Felipe,100,1659550711,78,81.07,3.27
41,21.3469,-158.0858,US,Makakilo City,0,1659550712,68,77.32,5.75
42,-8.4667,140.3333,ID,Merauke,93,1659550712,87,77.85,12.44
43,-0.8833,131.25,ID,Sorong,100,1659550713,85,78.46,6.51
44,48.6,133.8167,RU,Smidovich,44,1659550713,86,66.78,6.35
45,3.0707,172.7902,KI,Butaritari,42,1659550714,80,80.82,14.65
46,-0.6,73.0833,MV,Hithadhoo,70,1659550604,72,81.63,15.26
47,-21.3585,55.7679,RE,Saint-Philippe,48,1659550714,82,69.39,8.5
48,69.3833,178.4167,RU,Leningradskiy,100,1659550715,89,42.48,5.26
49,6.1241,81.1185,LK,Hambantota,100,1659550715,78,79.5,24.85
50,53.7,53.6667,RU,Abdulino,97,1659550715,69,68.34,6.11
51,73.5069,80.5464,RU,Dikson,100,1659550716,100,42.01,7.18
52,-38.0023,-57.5575,AR,Mar del Plata,100,1659550716,95,51.1,11.5
53,29.9737,32.5263,EG,Suez,12,1659550717,59,83.14,16.93
54,-0.2167,20.8667,CD,Boende,72,1659550717,80,75.7,0.36
55,70.6333,147.9167,RU,Chokurdakh,100,1659550718,67,49.42,6.76
56,11.0616,-0.2417,GH,Bawku,100,1659550718,74,79.95,7.7
57,-21.5333,21.9333,BW,Dekar,21,1659550719,18,64.15,7.34
58,60.05,69.9,RU,Gornopravdinsk,25,1659550719,70,58.37,3.11
59,47.0709,9.9475,AT,Schruns,22,1659550719,72,72.7,4.27
60,-5.85,34.95,TZ,Kilimatinde,57,1659550720,42,70.18,4.63
61,-22.6667,167.4833,NC,Vao,5,1659550720,84,71.92,11.16
62,32.6667,-17.1,PT,Ponta do Sol,0,1659550721,74,78.71,6.04
63,70.4692,-68.5914,CA,Clyde River,100,1659550721,100,39.43,9.22
64,36.2946,-76.2511,US,Elizabeth City,0,1659550573,64,95.05,10.36
65,-0.7393,-90.3518,EC,Puerto Ayora,83,1659550722,78,78.76,5.99
66,65.282,-126.8329,CA,Norman Wells,75,1659550722,88,57.24,17.27
67,59.3833,143.3,RU,Okhotsk,100,1659550722,89,56.39,3.4
68,-24.7911,-50.0119,BR,Castro,4,1659550723,37,76.89,6.08
69,42.2506,-75.833,US,Broome,0,1659550723,44,88.47,8.99
70,59.5833,151.2833,RU,Ola,100,1659550724,91,53.15,12.68
71,5.6639,-67.6236,VE,Puerto Ayacucho,82,1659550724,68,83.71,5.14
72,57.8,158.6667,RU,Tigil',100,1659550724,93,52.12,8.84
73,-9.8,-139.0333,PF,Atuona,1,1659550526,76,77.22,14.7
74,71.9667,102.5,RU,Khatanga,92,1659550725,65,49.71,6.17
75,66.0317,60.1659,RU,Inta,72,1659550726,47,67.57,11.56
76,61.2767,108.0108,RU,Yerbogachën,100,1659550726,95,55.08,10.94
77,63.2909,18.7153,SE,Örnsköldsvik,100,1659550726,88,63.55,14.97
78,-20.1,146.2667,AU,Charters Towers,18,1659550727,96,60.57,9.31
79,-21.2078,-159.775,CK,Avarua,75,1659550727,60,73.45,14.97
80,-8.7676,160.7034,SB,Auki,15,1659550727,90,75.67,5.41
81,63.8424,-22.4338,IS,Grindavik,75,1659550728,58,54.07,18.41
82,25.5333,-103.25,MX,Matamoros,40,1659550447,27,91.51,0.0
83,22.0752,-159.319,US,Kapaa,40,1659550728,75,79.12,13.8
84,63.7256,8.834,NO,Sistranda,68,1659550729,83,60.76,13.56
85,27.45,78.8167,IN,Sakīt,97,1659550730,69,86.27,4.94
86,-33.0153,27.9116,ZA,East London,0,1659550615,56,68.94,4.61
87,46.3592,6.9759,CH,Luan,16,1659550730,49,81.23,1.3
88,-22.8167,47.2833,MG,Vondrozo,99,1659550731,94,59.2,1.88
89,78.2186,15.6401,SJ,Longyearbyen,75,1659550731,76,51.64,10.36
90,42.1584,-72.3287,US,Palmer,40,1659550732,48,89.62,5.99
91,45.6169,-61.3485,CA,Port Hawkesbury,20,1659550732,76,78.91,11.5
92,64.8378,-147.7164,US,Fairbanks,100,1659550532,90,63.09,5.75
93,57.79,-152.4072,US,Saint Paul Harbor,0,1659550733,55,63.91,10.36
94,69.4058,86.1778,RU,Dudinka,29,1659550733,69,54.63,1.28
95,-6.2167,155.6333,PG,Kieta,73,1659550734,88,77.7,7.78
96,32.5,62.5,AF,Farah,0,1659550734,17,85.05,4.23
97,-34.4187,19.2345,ZA,Hermanus,5,1659550633,84,54.81,15.57
98,24.8,125.2833,JP,Hirara,13,1659550735,75,84.85,15.43
99,-20.5167,57.5167,MU,Souillac,40,1659550735,77,68.38,4.61
100,50.6321,87.9563,RU,Ulagan,44,1659550736,97,50.61,0.43
101,-17.8786,36.8883,MZ,Quelimane,75,1659550736,83,71.55,5.75
102,4.375,-7.7169,LR,Harper,96,1659550733,77,76.15,10.07
103,-31.95,141.4333,AU,Broken Hill,100,1659550736,74,62.47,26.4
104,-6.2378,-42.6883,BR,Regeneração,77,1659550737,32,93.54,13.8
105,54.0359,19.0266,PL,Malbork,2,1659550737,39,82.87,10.07
106,33.194,-82.5271,US,Avera,97,1659550738,36,91.38,3.71
107,14.8961,-24.4956,CV,São Filipe,69,1659550738,85,77.22,4.56
108,5.9485,80.5353,LK,Matara,97,1659550530,88,77.61,17.81
109,34.0372,-4.9998,MA,Fes,40,1659550702,36,95.25,10.36
110,57.4129,-6.1942,GB,Portree,80,1659550510,84,56.52,4.12
111,-18.7247,-47.4986,BR,Monte Carmelo,66,1659550739,26,83.34,7.65
112,-30.1811,-50.2056,BR,Cidreira,83,1659550739,84,65.28,19.82
113,35.8668,47.6051,IR,Bījār,41,1659550740,17,82.22,14.43
114,-37.6167,-73.65,CL,Lebu,12,1659550574,73,51.82,3.65
115,27.0833,-101.5333,MX,San Buenaventura,0,1659550740,24,98.47,0.0
116,50.6996,-127.4199,CA,Port Hardy,100,1659550516,88,57.38,4.61
117,28.7519,54.5444,IR,Dārāb,0,1659550741,18,90.03,11.74
118,63.4427,-20.2734,IS,Vestmannaeyjar,20,1659550741,58,54.59,17.27
119,-33.0393,-71.6273,CL,Valparaíso,20,1659550688,58,57.43,8.05
120,69.7008,170.3133,RU,Pevek,100,1659550742,99,34.92,8.75
121,68.75,161.3,RU,Cherskiy,100,1659550743,91,44.2,7.58
122,-42.7826,147.0587,AU,New Norfolk,47,1659550650,87,49.91,1.99
123,-16.7,-151.0167,PF,Fare,0,1659550743,74,78.66,21.39
124,50.6665,-120.3192,CA,Kamloops,100,1659550503,52,74.75,0.0
125,41.7919,120.7792,CN,Beipiao,46,1659550744,93,76.1,4.14
126,57.3064,88.1667,RU,Tegul'det,98,1659550745,86,53.62,5.84
127,62.2167,135.8,RU,Dzhebariki-Khaya,95,1659550745,83,64.98,3.36
128,6.4965,2.6036,BJ,Porto-Novo,52,1659550746,77,74.62,10.0
129,47.8667,88.1167,CN,Altay,96,1659550746,42,67.24,4.56
130,29.1925,72.8536,PK,Fort Abbas,87,1659550746,55,89.89,10.65
131,-10.0681,-78.1522,PE,Huarmey,42,1659550747,72,67.55,11.74
132,47.3821,-61.8597,CA,Cap-aux-Meules,40,1659550747,78,69.85,10.36
